No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;2.9248305537;0.0;0.0;0.0;2080;49308
2;2.9248305537;0.0;0.0;0.0;2080;49155
3;2.9248305537;0.0;0.0;0.0;2764;51079
4;2.9248305537;0.0;0.0;0.0;3577;49206
5;2.9248305537;0.0;0.0;0.0;2080;46455
6;2.9248305537;0.0;0.0;0.0;3172;46894
7;2.9248305537;0.0;0.0;0.0;3577;44469
8;2.9248305537;0.0;0.0;0.0;2217;49659
9;2.9248305537;0.0;0.0;0.0;3172;52070
10;2.9248305537;0.0;0.0;0.0;2217;51836
11;2.9248305537;0.0;0.0;0.0;2217;46400
12;2.9248305537;0.0;0.0;0.0;2217;47164
13;2.9248305537;0.0;0.0;0.0;2217;45731
14;2.9248305537;0.0;0.0;0.0;2354;49257
15;2.9248305537;0.0;0.0;0.0;2491;49759
16;2.9248305537;0.0;0.0;0.0;1253;46067
17;2.9248305537;0.0;0.0;0.0;1943;48798
18;2.9248305537;0.0;0.0;0.0;3307;50107
19;2.9248305537;0.0;0.0;0.0;3036;52208
20;2.9248305537;0.0;0.0;0.0;2764;51554
21;2.9248305537;0.0;0.0;0.0;2628;50935
22;2.9248305537;0.0;0.0;0.0;2217;50743
23;2.9248305537;0.0;0.0;0.0;3307;43098
24;2.9248305537;0.0;0.0;0.0;2900;48695
25;2.9248305537;0.0;0.0;0.0;3442;49559
