No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;2.9248305537;0.0;0.0;0.0;754;31501
2;2.9248305537;0.0;0.0;0.0;754;34671
3;2.9248305537;0.0;0.0;0.0;754;29276
4;2.9248305537;0.0;0.0;0.0;754;33403
5;2.9248305537;0.0;0.0;0.0;504;30263
6;2.9248305537;0.0;0.0;0.0;629;29816
7;2.9248305537;0.0;0.0;0.0;754;25950
8;2.9248305537;0.0;0.0;0.0;629;28091
9;2.9248305537;0.0;0.0;0.0;629;29004
10;2.9248305537;0.0;0.0;0.0;879;26138
11;2.9248305537;0.0;0.0;0.0;629;38416
12;2.9248305537;0.0;0.0;0.0;754;41808
13;2.9248305537;0.0;0.0;0.0;629;27631
14;2.9248305537;0.0;0.0;0.0;754;31589
15;2.9248305537;0.0;0.0;0.0;629;35586
16;2.9248305537;0.0;0.0;0.0;629;31676
17;2.9248305537;0.0;0.0;0.0;629;32803
18;2.9248305537;0.0;0.0;0.0;629;36407
19;2.9248305537;0.0;0.0;0.0;754;28913
20;2.9248305537;0.0;0.0;0.0;504;29456
21;2.9248305537;0.0;0.0;0.0;378;27539
22;2.9248305537;0.0;0.0;0.0;629;34587
23;2.9248305537;0.0;0.0;0.0;879;33828
24;2.9248305537;0.0;0.0;0.0;504;38337
25;2.9248305537;0.0;0.0;0.0;754;42332
