No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;-4529.1197395;0;0;0.0;68221;80297
2;-4529.1197395;0;0;0.0;69318;83381
3;-4529.1197395;0;0;0.0;66826;80745
4;-4529.1197395;0;0;0.0;66331;80907
5;-4529.1197395;0;0;0.0;66601;81042
6;-4529.1197395;0;0;0.0;66601;79817
7;-4529.1197395;0;0;0.0;68135;82688
8;-3716.90772112716;812.212018372838;0;0.0;65878;100000
9;-4529.1197395;0;0;0.0;67791;80826
10;-4529.11973669505;2.80495441984385e-06;0;0.0;85319;100000
11;-4529.1197395;0;0;0.0;71756;83813
12;-4529.11973027277;9.22723120311275e-06;0;0.0;69400;100000
13;-3716.90772112716;812.212018372838;0;0.0;65786;100000
14;-4529.119739531;0;0;0.0;70015;100000
15;-4529.1197395;0;0;0.0;65510;80409
16;-4529.1197395;0;0;0.0;64101;79672
17;-4529.1197395;0;0;0.0;65280;78126
18;-4529.1197395;0;0;0.0;64341;79817
19;-4525.98876410788;3.13097539211594;0;0.0;68393;100000
20;-4529.1197395;0;0;0.0;69235;82336
21;-4529.1197395;0;0;0.0;62838;76610
22;-4529.1197395;0;0;0.0;68773;79846
23;-4529.119739531;0;0;0.0;65464;100000
24;-4529.1197395;0;0;0.0;67266;86154
25;-4529.1197395;0;0;0.0;67398;81555
