No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;2994.4244658;0.0;0.0;0.0;13267;55577
2;2994.4244658;0.0;0.0;0.0;12392;55759
3;2994.4244658;0.0;0.0;0.0;12568;55850
4;2994.4244658;0.0;0.0;0.0;13441;55577
5;2994.4244658;0.0;0.0;0.0;12392;54842
6;2994.4244658;0.0;0.0;0.0;11331;53432
7;2994.4244658;0.0;0.0;0.0;13788;55850
8;2994.4244658;0.0;0.0;0.0;12743;55850
9;2994.4244658;0.0;0.0;0.0;12040;55941
10;2994.4244658;0.0;0.0;0.0;12743;55303
11;2994.4244658;0.0;0.0;0.0;11863;54095
12;2994.4244658;0.0;0.0;0.0;12392;54935
13;2994.4244658;0.0;0.0;0.0;11509;56301
14;2994.4244658;0.0;0.0;0.0;11686;55303
15;2994.4244658;0.0;0.0;0.0;12216;53907
16;2994.4244658;0.0;0.0;0.0;11686;55303
17;2994.4244658;0.0;0.0;0.0;10796;54001
18;2994.424465756736;4.3263753468636423e-08;0.0;0.0;11686;100000
19;2994.4244658;0.0;0.0;0.0;10796;53907
20;2994.424465756736;4.3263753468636423e-08;0.0;0.0;12568;100000
21;2994.4244658;0.0;0.0;0.0;13267;55211
22;2994.4244658;0.0;0.0;0.0;13093;54377
23;2994.4244658;0.0;0.0;0.0;13788;55759
24;2994.4244658;0.0;0.0;0.0;12743;55577
25;2994.4244658;0.0;0.0;0.0;12568;54656
