No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;189.31162966;0;0.0;0;74033;79381
2;189.31162966;0;0.0;0;76045;84309
3;189.31162966;0;0.0;0;73197;80967
4;189.31162966;0;0.0;0;72912;80717
5;189.31162966;0;0.0;0;74033;80675
6;189.31162966;0;0.0;0;72741;80123
7;189.31162966;0;0.0;0;74198;83527
8;189.31162966;0;0.0;0;74415;83815
9;189.31162966;0;0.0;0;74899;82443
10;189.31162966;0;0.0;0;73197;81049
11;189.31162966;0;0.0;0;75530;82132
12;189.31162966;0;0.0;0;73478;81618
13;189.31162966;0;0.0;0;75217;80549
14;189.31162966;0;0.0;0;74523;80885
15;189.31162966;0;0.0;0;75217;82327
16;189.31162966;0;0.0;0;74631;82557
17;189.31162966;0;0.0;0;73646;81778
18;189.31162966;0;0.0;0;76500;82557
19;189.31162966;0;0.0;0;76500;83671
20;189.31162966;0;0.0;0;76198;82899
21;189.31162966;0;0.0;0;74685;81295
22;189.31162966;0;0.0;0;75478;81418
23;189.31162966;0;0.0;0;73813;82093
24;189.31162966;0;0.0;0;76147;82171
25;189.31162966;0;0.0;0;74793;82015
