No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;77119.34471883374;23480.401996833745;0.0;0.0;4327;100000
2;80079.36006863511;26440.417346635113;0.0;0.0;2072;100000
3;62450.90741033044;8811.964688330438;0.0;0.0;2086;100000
4;108597.54755720709;54958.60483520709;0.0;0.0;1059;100000
5;68843.545013345;15204.602291345007;0.0;0.0;3245;100000
6;76913.74065215854;23274.797930158536;0.0;0.0;2072;100000
7;91612.39253114723;37973.44980914723;0.0;0.0;2147;100000
8;80051.37369568736;26412.430973687362;0.0;0.0;1049;100000
9;80885.86363813408;27246.920916134077;0.0;0.0;3227;100000
10;74404.42984545947;20765.48712345947;0.0;0.0;2072;100000
11;68954.79471839753;15315.851996397534;0.0;0.0;380;100000
12;70717.80675744469;17078.86403544469;0.0;0.0;2729;100000
13;63757.48478583864;10118.542063838642;0.0;0.0;3280;100000
14;64703.51865612958;11064.575934129578;0.0;0.0;2189;100000
15;66654.81859425826;13015.875872258264;0.0;0.0;425;100000
16;69578.25840095407;15939.315678954074;0.0;0.0;1983;100000
17;77234.35669462635;23595.413972626346;0.0;0.0;335;100000
18;66617.85918840079;12978.916466400791;0.0;0.0;3227;100000
19;68156.2678117238;14517.325089723796;0.0;0.0;2147;100000
20;80555.10986485964;26916.16714285964;0.0;0.0;380;100000
21;79736.21574522796;26097.273023227965;0.0;0.0;3256;100000
22;98365.71518621544;44726.77246421544;0.0;0.0;3267;100000
23;75966.57515164933;22327.632429649333;0.0;0.0;2737;100000
24;101799.4494833757;48160.506761375706;0.0;0.0;1974;100000
25;69472.00459457721;15833.061872577215;0.0;0.0;2082;100000
