Problem;Best;Worst;Mean;Median;Std.;SR
RC1 f;0.0;0.0;0.0;0.0;0.0;100.0
RC1 v;0.0;0.0;0.0;0.0;0.0;100.0
RC2 f;0.0;0.0;0.0;0.0;0.0;100.0
RC2 v;0.0;0.0;0.0;0.0;0.0;100.0
RC3 f;0.0;0.0;0.0;0.0;0.0;100.0
RC3 v;0.0;0.0;0.0;0.0;0.0;100.0
RC4 f;0.0;0.01350437787916442;0.010723266232816622;0.013398804011688636;0.00536167261367357;20.0
RC4 v;0.0;0.0;0.0;0.0;0.0;100.0
RC5 f;1.947265104718099e-07;400.0047;18.32998266947511;9.26632743016853e-05;78.55438964590789;0.0
RC5 v;0.0;0.0;0.0;0.0;0.0;100.0
RC6 f;0.7795308104685066;0.7795314236152118;0.768890327013702;0.7795313099883383;0.029080134351151157;0.0
RC6 v;0.09385182245021641;1.3367681300964875;0.3104076952819485;0.12828673912232044;0.33241283377381237;0.0
RC7 f;0.6617198784450942;1.5591883682133498;1.0317092845519336;1.0553861285357826;0.28215589372858474;0.0
RC7 v;0.07285456422526408;0.9502662118452744;0.28748344020317734;0.17003169622950054;0.2633303905213365;0.0
RC8 f;0.0;0.0;0.0;0.0;0.0;100.0
RC8 v;0.0;0.0;0.0;0.0;0.0;100.0
RC9 f;0.0;0.0;0.0;0.0;0.0;100.0
RC9 v;0.0;0.0;0.0;0.0;0.0;100.0
RC10 f;0.0;0.17345691669999996;0.111012452447595;0.17345691669999996;0.08325928566996184;32.0
RC10 v;0.0;0.0;0.0;0.0;0.0;100.0
RC11 f;0.0;8.136678384885087;2.2782699477678245;0.0;3.6533595339130978;72.0
RC11 v;0.0;0.0;0.0;0.0;0.0;100.0
RC12 f;0.0;0.0;0.0;0.0;0.0;100.0
RC12 v;0.0;0.0;0.0;0.0;0.0;100.0
RC13 f;0.4222107520545251;0.4222107520545251;0.4222107520545251;0.4222107520545251;0.0;0.0
RC13 v;0.0;0.0;0.0;0.0;0.0;100.0
RC14 f;4866.5071682454;4866.507168245407;4866.507168245401;4866.5071682454;2.0008883439004423e-12;0.0
RC14 v;0.0;0.0;0.0;0.0;0.0;100.0
RC15 f;0.0;4.3263753468636423e-08;3.461100277490914e-09;0.0;1.1737162093314906e-08;92.0
RC15 v;0.0;0.0;0.0;0.0;0.0;100.0
RC16 f;0.0;0.0;0.0;0.0;0.0;100.0
RC16 v;0.0;0.0;0.0;0.0;0.0;100.0
RC17 f;0.0;5.382092218087636e-05;4.0903900857466035e-05;5.382092218087636e-05;2.2986007908868184e-05;24.0
RC17 v;0.0;0.0;0.0;0.0;0.0;100.0
RC18 f;174.3815614484356;174.3815614484356;174.3815614484356;174.3815614484356;0.0;0.0
RC18 v;0.0;0.0;0.0;0.0;0.0;100.0
RC19 f;0.0;0.0;0.0;0.0;0.0;100.0
RC19 v;0.0;0.0;0.0;0.0;0.0;100.0
RC20 f;0.0;0.0;0.0;0.0;0.0;100.0
RC20 v;0.0;0.0;0.0;0.0;0.0;100.0
