No.;f(x);f(x) - f(x*);Constraint Violation;FES feasible;FES success
1;1600.0;0;0.0;0;38241
2;1600.0;0;0.0;0;34814
3;1600.0;0;0.0;0;32623
4;1600.0;0;0.0;0;39193
5;1600.0;0;0.0;0;34342
6;1600.0;0;0.0;0;38292
7;1600.0;0;0.0;0;35940
8;1600.0;0;0.0;0;35087
9;1600.0;0;0.0;0;35940
10;1600.0;0;0.0;0;34625
11;1600.0;0;0.0;0;33814
12;1600.0;0;0.0;0;36581
13;1600.0;0;0.0;0;32743
14;1600.0;0;0.0;0;34604
15;1600.0;0;0.0;0;32183
16;1600.0;0;0.0;0;36714
17;1600.0;0;0.0;0;37168
18;1600.0;0;0.0;0;37037
19;1600.0;0;0.0;0;37726
20;1600.0;0;0.0;0;34496
21;1600.0;0;0.0;0;38649
22;1600.0;0;0.0;0;37204
23;1600.0;0;0.0;0;36543
24;1600.0;0;0.0;0;36040
25;1600.0;0;0.0;0;37852
26;1600.0;0;0.0;0;36524
27;1600.0;0;0.0;0;34430
28;1600.0;0;0.0;0;36676
29;1600.0;0;0.0;0;38156
30;1600.0;0;0.0;0;37240
