No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;263.89584338;0;0;0.0;72;5345
2;263.89584338;0;0;0.0;72;6433
3;263.89584338;0;0;0.0;72;5719
4;263.89584338;0;0;0.0;72;5379
5;263.89584338;0;0;0.0;72;5379
6;263.89584338;0;0;0.0;72;5515
7;263.89584338;0;0;0.0;72;5481
8;263.89584338;0;0;0.0;72;5243
9;263.89584338;0;0;0.0;72;5277
10;263.89584338;0;0;0.0;72;5991
11;263.89584338;0;0;0.0;72;6025
12;263.89584338;0;0;0.0;72;6093
13;263.89584338;0;0;0.0;72;5617
14;263.89584338;0;0;0.0;72;6263
15;263.89584338;0;0;0.0;72;5073
16;263.89584338;0;0;0.0;72;6603
17;263.89584338;0;0;0.0;72;5719
18;263.89584338;0;0;0.0;72;6025
19;263.89584338;0;0;0.0;72;6059
20;263.89584338;0;0;0.0;72;5311
21;263.89584338;0;0;0.0;72;5549
22;263.89584338;0;0;0.0;72;5787
23;263.89584338;0;0;0.0;72;5583
24;263.89584338;0;0;0.0;72;6263
25;263.89584338;0;0;0.0;72;5753
