No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;1.25;0.17345691669999996;0.0;0.0;88463;100000
2;1.25;0.17345691669999996;0.0;0.0;88804;100000
3;1.25;0.17345691669999996;0.0;0.0;89611;100000
4;1.25;0.17345691669999996;0.0;0.0;89513;100000
5;1.0765430833;0.0;0.0;0.0;73923;81049
6;1.25;0.17345691669999996;0.0;0.0;89113;100000
7;1.25;0.17345691669999996;0.0;0.0;89163;100000
8;1.0765430833;0.0;0.0;0.0;74469;80209
9;1.0765437272898755;6.43989875426243e-07;0.0;0.0;88908;100000
10;1.0765430833;0.0;0.0;0.0;88700;91943
11;1.25;0.17345691669999996;0.0;0.0;89038;100000
12;1.0765430833;0.0;0.0;0.0;87005;91013
13;1.25;0.17345691669999996;0.0;0.0;90159;100000
14;1.25;0.17345691669999996;0.0;0.0;89563;100000
15;1.0765430833;0.0;0.0;0.0;90090;98585
16;1.25;0.17345691669999996;0.0;0.0;90297;100000
17;1.0765430833;0.0;0.0;0.0;78101;84169
18;1.25;0.17345691669999996;0.0;0.0;90090;100000
19;1.25;0.17345691669999996;0.0;0.0;90595;100000
20;1.0765430833;0.0;0.0;0.0;80123;84959
21;1.0765430833;0.0;0.0;0.0;85903;90435
22;1.25;0.17345691669999996;0.0;0.0;90067;100000
23;1.25;0.17345691669999996;0.0;0.0;89827;100000
24;1.25;0.17345691669999996;0.0;0.0;90067;100000
25;1.25;0.17345691669999996;0.0;0.0;90481;100000
