No.;f(x);abs(f(x) - F(x*));Constraint Violation;Mean Constraint Violation;FES feasible;FES success
1;12930.24149;11230.24149;0;0;0;10000000
2;31690.75592;29990.75592;0;0;0;10000000
3;46434.0617;44734.0617;0;0;0;10000000
4;13160.8344;11460.8344;0;0;0;10000000
5;36805.81273;35105.81273;0;0;0;10000000
6;25253.69297;23553.69297;0;0;0;10000000
7;13841.66871;12141.66871;0;0;0;10000000
8;37428.37944;35728.37944;0;0;0;10000000
9;50556.69792;48856.69792;0;0;0;10000000
10;30941.2453;29241.2453;0;0;0;10000000
11;48236.60512;46536.60512;0;0;0;10000000
12;55376.34463;53676.34463;0;0;0;10000000
13;45612.11179;43912.11179;0;0;0;10000000
14;27569.94617;25869.94617;0;0;0;10000000
15;33022.26948;31322.26948;0;0;0;10000000
16;19407.80174;17707.80174;0;0;0;10000000
17;23670.30081;21970.30081;0;0;0;10000000
18;34251.40802;32551.40802;0;0;0;10000000
19;38097.30102;36397.30102;0;0;0;10000000
20;34314.7759;32614.7759;0;0;0;10000000
21;13200.64413;11500.64413;0;0;0;10000000
22;15618.39675;13918.39675;0;0;0;10000000
23;5843.646547;4143.646547;0;0;0;10000000
24;34345.46767;32645.46767;0;0;0;10000000
25;27177.40362;25477.40362;0;0;0;10000000
26;28273.86692;26573.86692;0;0;0;10000000
27;32854.24276;31154.24276;0;0;0;10000000
28;25021.63111;23321.63111;0;0;0;10000000
29;51396.47875;49696.47875;0;0;0;10000000
30;11681.26397;9981.263969;0;0;0;10000000
