Problem;Best;Worst;Mean;Median;Std.;SR
RC1 f;0.0;78.4377052513078;30.118176335227368;15.4646217854483;27.633139185820085;8.0
RC1 v;0.0;0.17375272484681376;0.025225224487504357;0.0;0.047337492477193245;60.0
RC2 f;0.0;0.0;0.0;0.0;0.0;100.0
RC2 v;0.0;0.0;0.0;0.0;0.0;100.0
RC3 f;0.0;812.212018372838;65.1022009667991;0.0;220.31151711314845;80.0
RC3 v;0.0;0.0;0.0;0.0;0.0;100.0
RC4 f;0.0;0.0311159161647394;0.002493885500547248;0.0;0.006510911213432307;64.0
RC4 v;0.0;0.0;0.0;0.0;0.0;100.0
RC5 f;0.000102478706651254;360.675503722885;30.990317613966244;2.93060059323744;72.96297732369415;0.0
RC5 v;0.0;0.0;0.0;0.0;0.0;100.0
RC6 f;0.409691719636415;0.362014784132661;0.15641842107476903;0.118367605223855;0.11383289380259547;0.0
RC6 v;0.008707272351475843;0.015618537581724688;0.014426971003559625;0.015176098101408188;0.00201398525246345;0.0
RC7 f;0.0;0.0;0.0;0.0;0.0;100.0
RC7 v;0.027871624452871578;0.8381933382888473;0.09509526834934778;0.05078611770738921;0.15959404483330156;0.0
RC8 f;0.0;0.0;0.0;0.0;0.0;100.0
RC8 v;0.0;0.0;0.0;0.0;0.0;100.0
RC9 f;0.0;0.0;0.0;0.0;0.0;100.0
RC9 v;0.0;0.0;0.0;0.0;0.0;100.0
RC10 f;0.0;0.1734569167;0.062444490012;0.0;0.08325932001599999;64.0
RC10 v;0.0;0.0;0.0;0.0;0.0;100.0
RC11 f;0.862863636049468;71.1363344462982;39.329017787564965;46.1302660339468;21.916709007953667;0.0
RC11 v;0.0;0.1249875;0.08701608616828181;0.1249875;0.053178665150212995;12.0
RC12 f;0.0;0.156901573423259;0.011587394064816342;0.0;0.031112684041823033;72.0
RC12 v;0.0;0.0;0.0;0.0;0.0;100.0
RC13 f;0.422210752050887;0.422210752050887;0.42221075205088693;0.422210752050887;5.551115123125783e-17;0.0
RC13 v;0.0;0.0;0.0;0.0;0.0;100.0
RC14 f;4866.5071682454;4866.50716824543;4866.507168245404;4866.5071682454;6.9408211960176825e-12;0.0
RC14 v;0.0;0.0;0.0;0.0;0.0;100.0
RC15 f;0.0;0.0;0.0;0.0;0.0;100.0
RC15 v;0.0;0.0;0.0;0.0;0.0;100.0
RC16 f;0.0;0.0;0.0;0.0;0.0;100.0
RC16 v;0.0;0.0;0.0;0.0;0.0;100.0
RC17 f;0.0;6.46806895023e-08;2.5872275800920002e-09;0.0;1.2674774839362197e-08;96.0
RC17 v;0.0;0.0;0.0;0.0;0.0;100.0
RC18 f;174.381561448436;205.193428085864;181.77640944141868;174.381561448436;13.159228447158869;0.0
RC18 v;0.0;0.0;0.0;0.0;0.0;100.0
RC19 f;0.0;0.0;0.0;0.0;0.0;100.0
RC19 v;0.0;0.0;0.0;0.0;0.0;100.0
RC20 f;0.0;0.0;0.0;0.0;0.0;100.0
RC20 v;0.0;0.0;0.0;0.0;0.0;100.0
