Problem;Best;Worst;Mean;Median;Std.;SR
RC1 f;0.0;0.0;0.0;0.0;0.0;100.0
RC1 v;0.0;0.0;0.0;0.0;0.0;100.0
RC2 f;0.0;0.0;0.0;0.0;0.0;100.0
RC2 v;0.0;0.0;0.0;0.0;0.0;100.0
RC3 f;0.0;4778.43868237626;366.5936236449808;0.0;1244.415136903617;92.0
RC3 v;0.0;0.0;0.0;0.0;0.0;100.0
RC4 f;9.09594148567061e-05;0.0183902231236319;0.013776394121659962;0.0138549789845998;0.0030392607481224483;0.0
RC4 v;0.0;0.0;0.0;0.0;0.0;100.0
RC5 f;0.00010970689692158;400.0056;66.2383096413279;4.14500845289427;137.84959867323218;0.0
RC5 v;0.0;0.0;0.0;0.0;0.0;100.0
RC6 f;0.7795314167759;0.7810534267839999;0.7783135881979923;0.7795322748134899;0.005024150674089622;0.0
RC6 v;0.0937549130156132;0.223551103613601;0.1295941368802846;0.121218004759558;0.02789493959034712;0.0
RC7 f;0.9888215369014699;0.7913913145467999;0.9347756526182637;0.93131092922968;0.15896195093832968;0.0
RC7 v;0.0626937744878034;0.42979804792975;0.1356530846321671;0.104221517632316;0.09188947396651762;0.0
RC8 f;0.0;0.0;0.0;0.0;0.0;100.0
RC8 v;0.0;0.0;0.0;0.0;0.0;100.0
RC9 f;0.0;0.0;0.0;0.0;0.0;100.0
RC9 v;0.0;0.0;0.0;0.0;0.0;100.0
RC10 f;0.0;0.1734569167;0.10467431897098202;0.1734569167;0.08428922343838878;36.0
RC10 v;0.0;0.0;0.0;0.0;0.0;100.0
RC11 f;0.0;24.800450721581;5.874340466347739;8.13667838488509;5.460580728790504;32.0
RC11 v;0.0;0.125;0.005;0.0;0.024494897427831782;96.0
RC12 f;0.0;0.0;0.0;0.0;0.0;100.0
RC12 v;0.0;0.0;0.0;0.0;0.0;100.0
RC13 f;0.422210752054525;0.422210752054525;0.422210752054525;0.422210752054525;0.0;0.0
RC13 v;0.0;0.0;0.0;0.0;0.0;100.0
RC14 f;4866.50716824541;4866.50716832717;4866.507168249912;4866.50716824571;1.6008591942960957e-08;0.0
RC14 v;0.0;0.0;0.0;0.0;0.0;100.0
RC15 f;0.0;0.0;0.0;0.0;0.0;100.0
RC15 v;0.0;0.0;0.0;0.0;0.0;100.0
RC16 f;0.0;0.0;0.0;0.0;0.0;100.0
RC16 v;0.0;0.0;0.0;0.0;0.0;100.0
RC17 f;0.0;5.38209221808764e-05;5.1668085293641345e-05;5.38209221808764e-05;1.054670374633507e-05;4.0
RC17 v;0.0;0.0;0.0;0.0;0.0;100.0
RC18 f;174.381561448436;174.381561448436;174.38156144843597;174.381561448436;2.842170943040401e-14;0.0
RC18 v;0.0;0.0;0.0;0.0;0.0;100.0
RC19 f;0.0;0.0;0.0;0.0;0.0;100.0
RC19 v;0.0;0.0;0.0;0.0;0.0;100.0
RC20 f;0.0;0.0;0.0;0.0;0.0;100.0
RC20 v;0.0;0.0;0.0;0.0;0.0;100.0
