Problem;Best;Worst;Mean;Median;Std.;SR
RC1 f;2.11250039683364e-08;2.63867718786059e-08;2.577752525212418e-08;2.60679655639251e-08;1.3086075108173473e-09;0.0
RC1 v;0.0;0.0;0.0;0.0;0.0;100.0
RC2 f;0.0;2.00552676687948e-08;1.640473783481864e-09;0.0;4.710249177325891e-09;88.0
RC2 v;0.0;0.0;0.0;0.0;0.0;100.0
RC3 f;0.224843857426094;938.579229710296;203.23044442991872;138.625288949059;236.40127346937268;0.0
RC3 v;0.0;0.0;0.0;0.0;0.0;100.0
RC4 f;1.64603492295856e-05;4.38130215490995e-05;2.923132914093517e-05;2.95399171965083e-05;6.410571433776989e-06;0.0
RC4 v;0.0;0.0;0.0;0.0;0.0;100.0
RC5 f;0.00477752536818343;26.7259553856987;2.1376904813514104;0.00547596156337704;7.230239918738793;0.0
RC5 v;0.0;0.0;0.0;0.0;0.0;100.0
RC6 f;6.96048268489236e-05;0.661303390856409;0.09820647321764421;0.0845607052143011;0.12610799998065625;0.0
RC6 v;0.0;0.0;0.0;0.0;0.0;100.0
RC7 f;0.0;0.0;0.0;0.0;0.0;100.0
RC7 v;0.0;0.0;0.0;0.0;0.0;100.0
RC8 f;0.0;0.0;0.0;0.0;0.0;100.0
RC8 v;0.0;0.0;0.0;0.0;0.0;100.0
RC9 f;0.0;1.16852878484508e-08;4.67411513938032e-10;0.0;2.2898394180999317e-09;96.0
RC9 v;0.0;0.0;0.0;0.0;0.0;100.0
RC10 f;0.0;0.0;0.0;0.0;0.0;100.0
RC10 v;0.0;0.0;0.0;0.0;0.0;100.0
RC11 f;2.86538159741667e-05;8.11458837903265;0.32554827734482883;0.000329880587401021;1.5899321581438806;0.0
RC11 v;0.0;0.0;0.0;0.0;0.0;100.0
RC12 f;1.81064903959083e-07;0.0221305463661987;0.013327985881681546;0.0221305463661929;0.010781837090049025;0.0
RC12 v;0.0;0.0;0.0;0.0;0.0;100.0
RC13 f;0.422210752054525;0.422210752054525;0.422210752054525;0.422210752054525;0.0;0.0
RC13 v;0.0;0.0;0.0;0.0;0.0;100.0
RC14 f;36.147687742683;8220.04601568261;2282.911407826729;605.074969711633;2646.0139473328045;0.0
RC14 v;0.0;0.0;0.0;0.0;0.0;100.0
RC15 f;0.0;0.0;0.0;0.0;0.0;100.0
RC15 v;0.0;0.0;0.0;0.0;0.0;100.0
RC16 f;0.000101633215856656;0.00645257530485452;0.003937389455997591;0.00418727361708966;0.0014917342642454057;0.0
RC16 v;0.0;0.0;0.0;0.0;0.0;100.0
RC17 f;0.0;1.42380863698416e-05;2.1036481567378316e-06;1.24520404981218e-06;3.1099326386917977e-06;12.0
RC17 v;0.0;0.0;0.0;0.0;0.0;100.0
RC18 f;174.381561448436;205.1934285575;179.9072616335061;174.381568780493;10.51723756124424;0.0
RC18 v;0.0;0.0;0.0;0.0;0.0;100.0
RC19 f;0.0;4.43444121422942e-08;1.7737764856917678e-09;0.0;8.689694615383955e-09;96.0
RC19 v;0.0;0.0;0.0;0.0;0.0;100.0
RC20 f;0.0;0.0;0.0;0.0;0.0;100.0
RC20 v;0.0;0.0;0.0;0.0;0.0;100.0
