Problem;Best;Worst;Mean;Median;Std.;SR
RC1 f;268.4546727879813;44.16814050873532;243.67894288412052;224.4796337124842;145.31771896172492;0.0
RC1 v;0.0009143763405572144;0.08772058664829288;0.010259037160491735;0.002742864610904468;0.022013783073115592;0.0
RC2 f;0.0;5.1531969802454114e-08;6.1465107137337326e-09;0.0;1.2988890105445209e-08;76.0
RC2 v;0.0;0.0;0.0;0.0;0.0;100.0
RC3 f;4386.701058460554;5041.930289918733;4641.856408133334;4652.803863289904;175.09588425061477;0.0
RC3 v;0.0;0.0;0.0;0.0;0.0;100.0
RC4 f;0.019842933644653504;0.08040238326846483;0.039820474731595515;0.031120308547754938;0.019620903588246353;0.0
RC4 v;0.0;0.0;0.0;0.0;0.0;100.0
RC5 f;181.0855162667561;434.05272000952806;461.8431089803357;472.8580254090013;94.10279198160293;0.0
RC5 v;0.0;0.013547201061812056;0.001485638225290874;0.0003636928440452788;0.0029122859690759568;24.0
RC6 f;0.27258548865487975;0.6269201317641915;0.33215786438735356;0.29842073018294113;0.1926222303781835;0.0
RC6 v;0.296507046752544;0.8242165544112421;0.5550594023563591;0.5386386360100132;0.1325917136028335;0.0
RC7 f;0.45379307118269674;0.5668181367903096;0.5150036179220296;0.5169582397052652;0.11643949615086695;0.0
RC7 v;0.33766749829539955;0.9785681665534934;0.5412310365021168;0.5294359032005587;0.12635435154973235;0.0
RC8 f;0.0;0.0;0.0;0.0;0.0;100.0
RC8 v;0.0;0.0;0.0;0.0;0.0;100.0
RC9 f;0.0;0.014838307958537467;0.0007574967033644775;0.0;0.002976231765969236;64.0
RC9 v;0.0;0.0;0.0;0.0;0.0;100.0
RC10 f;0.0;0.00010055274620746069;6.728348240745419e-06;0.0;2.07135367932139e-05;60.0
RC10 v;0.0;0.0;0.0;0.0;0.0;100.0
RC11 f;18.87954453690226;82.10617589076477;39.70600574141017;41.27176395380246;18.86623502751555;0.0
RC11 v;1.3446094580502929e-71;0.1249875;0.08999109002169332;0.1249875;0.056119103961075424;0.0
RC12 f;0.0;0.15690157342326083;0.00806496429728316;9.402008020575892e-06;0.03096551548706908;8.0
RC12 v;0.0;0.0;0.0;0.0;0.0;100.0
RC13 f;0.4222107520545251;0.46215415652113734;0.4251072951259266;0.422210752069077;0.009450970391704628;0.0
RC13 v;0.0;0.0;0.0;0.0;0.0;100.0
RC14 f;4866.5078566574375;4909.777456546726;4876.817337378408;4874.572768471895;10.4360307630405;0.0
RC14 v;0.0;0.0;0.0;0.0;0.0;100.0
RC15 f;0.0;0.011089642735441885;0.000787729238945758;4.3209638533880934e-08;0.002401543215501009;44.0
RC15 v;0.0;0.0;0.0;0.0;0.0;100.0
RC16 f;0.00015908262029114967;0.005586014600268821;0.0017623493826309621;0.001376080482060671;0.0014426149535237862;0.0
RC16 v;0.0;0.0;0.0;0.0;0.0;100.0
RC17 f;0.0;1.6737040974103626e-05;2.6344061478787705e-06;8.556252574874051e-07;4.322846817132211e-06;4.0
RC17 v;0.0;0.0;0.0;0.0;0.0;100.0
RC18 f;174.38156144848745;1169.3883661059708;272.1469279579671;178.50127768504353;229.81360968337347;0.0
RC18 v;0.0;0.0;0.0;0.0;0.0;100.0
RC19 f;1.2044689110535245e-06;0.6454621056018903;0.03056740101857586;0.0005252394397021742;0.1258655121940083;0.0
RC19 v;0.0;0.0;0.0;0.0;0.0;100.0
RC20 f;1.88231979336706e-07;0.24103474803905556;0.010163908915203593;4.906622331191102e-05;0.047146804393758665;0.0
RC20 v;0.0;0.0;0.0;0.0;0.0;100.0
