Problem;p-value;R+;R-;Result
1;1.0;0.0;0.0;=
2;1.0;0.0;0.0;=
3;0.46575942697290484;49.0;0.0;-
4;0.0002624503030412823;302.0;20.0;+
5;0.005578815937042236;263.0;62.0;+
6;0.19243418492041608;205.0;110.0;+
7;0.10731470584869385;102.0;223.0;-
8;1.0;0.0;0.0;=
9;1.0;0.0;0.0;=
10;0.8057207949022668;126.0;144.0;-
11;0.006361525465382372;214.5;19.5;-
12;1.0;0.0;0.0;=
13;1.0;0.0;0.0;=
14;1.0;0.0;0.0;=
15;1.0;0.0;0.0;=
16;1.0;0.0;0.0;=
17;0.1202574217574968;132.0;22.0;-
18;1.0;0.0;0.0;=
19;1.0;0.0;0.0;=
20;1.0;0.0;0.0;=
Total;0.6851844663053622;1393.5;600.5;3/12/5
