Problem;p-value;R+;R-;Result
1;0.29048723992982817;0.0;72.0;=
2;0.0990239527029149;0.0;115.0;=
3;5.960464477539063e-08;0.0;325.0;-
4;5.960464477539063e-08;0.0;325.0;-
5;5.960464477539063e-08;0.0;325.0;-
6;0.6528410911560059;145.0;180.0;-
7;5.960464477539063e-08;0.0;325.0;-
8;1.0;0.0;0.0;=
9;5.960464477539063e-08;0.0;325.0;-
10;2.6987022409679446e-05;0.0;322.0;-
11;1.0073184967041016e-05;16.0;309.0;-
12;8.165836334228516e-06;15.0;310.0;-
13;5.960464477539063e-08;0.0;325.0;-
14;5.960464477539063e-08;0.0;325.0;-
15;5.960464477539063e-08;0.0;325.0;-
16;5.960464477539063e-08;0.0;325.0;-
17;5.960464477539063e-08;0.0;325.0;-
18;0.0041751861572265625;59.0;266.0;-
19;5.960464477539063e-08;0.0;325.0;-
20;5.960464477539063e-08;0.0;325.0;-
Total;0.1023286705622712;235.0;5474.0;0/3/17
